signature,trump_count,strongest_trump_strength,weakest_trump_strength,max_suit_run,trump_strength_sum,color_aces,total_points,non_trump_points,hand_instances,games,win_rate,win_rate_std,avg_points
6-13-0-1-43-2,6,13.0,,1,43,2,32,22,1,1,0.0,0.0,0.0
4-9-2-2-20-1,4,9.0,2.0,2,20,1,34,21,1,1,0.0,0.0,0.0
5-14-2-1-45-0,5,14.0,2.0,1,45,0,19,0,2,1,0.0,0.0,0.0
5-12-3-2-38-1,5,12.0,3.0,2,38,1,29,11,2,1,0.0,0.0,0.0
5-14-2-1-40-1,5,14.0,2.0,1,40,1,39,21,1,1,0.0,0.0,0.0
5-14-2-1-37-1,5,14.0,2.0,1,37,1,38,31,5,1,0.0,0.0,0.0
6-14-0-1-43-0,6,14.0,,1,43,0,13,4,3,1,0.0,0.0,0.0
4-13-4-2-28-1,4,13.0,4.0,2,28,1,63,35,3,1,0.0,0.0,0.0
5-14-0-2-35-0,5,14.0,,2,35,0,21,4,4,1,0.0,0.0,0.0
1-6-6-4-6-0,1,6.0,6.0,4,6,0,39,28,1,1,0.0,0.0,0.0
4-12-3-2-26-0,4,12.0,3.0,2,26,0,9,0,2,1,0.0,0.0,0.0
6-12-2-2-41-1,6,12.0,2.0,2,41,1,39,11,2,1,0.0,0.0,0.0
3-10-4-3-19-1,3,10.0,4.0,3,19,1,31,15,2,1,0.0,0.0,0.0
3-9-0-3-11-1,3,9.0,,3,11,1,17,15,5,1,0.0,0.0,0.0
5-11-3-3-32-0,5,11.0,3.0,3,32,0,40,14,1,1,0.0,0.0,0.0
4-14-2-2-33-0,4,14.0,2.0,2,33,0,17,10,4,1,0.0,0.0,0.0
4-13-4-2-31-1,4,13.0,4.0,2,31,1,40,21,2,1,0.0,0.0,0.0
4-10-2-2-19-0,4,10.0,2.0,2,19,0,24,18,1,1,0.0,0.0,0.0
4-14-8-2-45-2,4,14.0,8.0,2,45,2,43,32,1,1,0.0,0.0,0.0
5-13-3-2-40-1,5,13.0,3.0,2,40,1,20,11,1,1,0.0,0.0,0.0
3-9-0-3-12-0,3,9.0,,3,12,0,20,18,5,1,0.0,0.0,0.0
5-13-2-3-38-1,5,13.0,2.0,3,38,1,32,21,1,1,0.0,0.0,0.0
3-13-10-3-35-1,3,13.0,10.0,3,35,1,29,21,2,1,0.0,0.0,0.0
3-8-0-3-10-1,3,8.0,,3,10,1,27,25,3,1,0.0,0.0,0.0
3-13-6-2-27-0,3,13.0,6.0,2,27,0,24,8,2,1,0.0,0.0,0.0
4-14-3-2-35-0,4,14.0,3.0,2,35,0,18,10,2,1,0.0,0.0,0.0
5-10-2-3-27-1,5,10.0,2.0,3,27,1,52,25,1,1,0.0,0.0,0.0
4-11-5-3-32-1,4,11.0,5.0,3,32,1,37,11,1,1,0.0,0.0,0.0
3-7-3-3-15-1,3,7.0,3.0,3,15,1,27,15,3,1,0.0,0.0,0.0
2-3-2-3-5-2,2,3.0,2.0,3,5,2,32,32,1,1,0.0,0.0,0.0
5-14-8-2-56-0,5,14.0,8.0,2,56,0,31,18,2,1,0.0,0.0,0.0
4-13-2-2-33-0,4,13.0,2.0,2,33,0,17,0,2,1,0.0,0.0,0.0
5-13-0-1-37-1,5,13.0,,1,37,1,38,21,1,1,0.0,0.0,0.0
4-12-0-2-22-1,4,12.0,,2,22,1,20,15,1,1,0.0,0.0,0.0
5-14-5-2-40-0,5,14.0,5.0,2,40,0,32,4,1,1,0.0,0.0,0.0
4-12-4-3-33-1,4,12.0,4.0,3,33,1,26,15,2,1,0.0,0.0,0.0
3-12-3-3-19-1,3,12.0,3.0,3,19,1,22,15,1,1,0.0,0.0,0.0
4-14-0-2-22-0,4,14.0,,2,22,0,23,10,3,1,0.0,0.0,0.0
3-14-3-3-27-0,3,14.0,3.0,3,27,0,29,24,1,1,0.0,0.0,0.0
5-13-0-2-28-0,5,13.0,,2,28,0,19,4,2,1,0.0,0.0,0.0
3-12-4-2-24-2,3,12.0,4.0,2,24,2,39,30,2,1,0.0,0.0,0.0
6-14-0-1-41-1,6,14.0,,1,41,1,52,21,2,1,0.0,0.0,0.0
4-7-3-2-20-0,4,7.0,3.0,2,20,0,27,10,2,1,0.0,0.0,0.0
3-14-2-2-21-0,3,14.0,2.0,2,21,0,17,4,3,1,0.0,0.0,0.0
4-14-6-4-39-0,4,14.0,6.0,4,39,0,23,4,1,1,0.0,0.0,0.0
2-6-2-3-8-2,2,6.0,2.0,3,8,2,47,36,7,1,0.0,0.0,0.0
2-11-5-4-16-1,2,11.0,5.0,4,16,1,34,21,4,1,0.0,0.0,0.0
4-8-2-2-22-1,4,8.0,2.0,2,22,1,33,19,4,1,0.0,0.0,0.0
2-9-2-3-11-2,2,9.0,2.0,3,11,2,34,32,2,1,0.0,0.0,0.0
3-13-9-2-34-1,3,13.0,9.0,2,34,1,43,35,2,1,0.0,0.0,0.0
6-14-0-2-45-1,6,14.0,,2,45,1,25,11,1,1,0.0,0.0,0.0
5-14-0-1-42-1,5,14.0,,1,42,1,37,19,1,1,0.0,0.0,0.0
3-14-4-4-25-0,3,14.0,4.0,4,25,0,19,10,1,1,0.0,0.0,0.0
4-14-0-2-29-1,4,14.0,,2,29,1,21,15,7,1,0.0,0.0,0.0
